restaurant_id,item_id,name,category,price,ingredients,is_vegetarian,spice_level
REST-BER-001,ITEM-101,Leberknödelsuppe,Starter,9.61,"Liver Dumplings, Beef Broth, Chives",False,Mild
REST-BER-001,ITEM-102,Obatzda mit Brezn,Starter,8.01,"Camembert, Butter, Paprika, Pretzel",True,Mild
REST-BER-001,ITEM-103,Currywurst Snack,Starter,7.62,"Pork Sausage, Curry Ketchup, Paprika",False,Medium
REST-BER-001,ITEM-104,Kartoffelsuppe,Starter,8.33,"Potato, Leek, Bacon, Cream",False,None
REST-BER-001,ITEM-105,Flammkuchen,Starter,10.77,"Thin Dough, Crème Fraîche, Onion, Bacon",False,None
REST-BER-001,ITEM-201,Käsespätzle,Main Course,14.12,"Egg Noodles, Emmental Cheese, Fried Onions",True,None
REST-BER-001,ITEM-202,Gemüseschnitzel,Main Course,13.39,"Breaded Vegetables, Lemon, Potato Salad",True,None
REST-BER-001,ITEM-203,Kartoffelknödel mit Pilzrahmsoße,Main Course,15.56,"Potato Dumplings, Mushroom Cream Sauce, Herbs",True,None
REST-BER-001,ITEM-204,Laugenbrezel mit Obatzda & Salat,Main Course,12.17,"Pretzel, Camembert Spread, Mixed Salad",True,Mild
REST-BER-001,ITEM-205,Reibekuchen mit Apfelmus,Main Course,11.83,"Potato Pancakes, Apple Sauce, Sour Cream",True,None
REST-BER-001,ITEM-301,Schweinshaxe,Main Course,22.1,"Pork Knuckle, Dark Beer Sauce, Sauerkraut, Dumplings",False,Mild
REST-BER-001,ITEM-302,Wiener Schnitzel,Main Course,19.31,"Veal, Breadcrumbs, Lemon, Parsley Potatoes",False,None
REST-BER-001,ITEM-303,Sauerbraten,Main Course,19.96,"Marinated Beef, Gingersnap Gravy, Red Cabbage, Dumplings",False,Mild
REST-BER-001,ITEM-304,Bratwurst mit Sauerkraut,Main Course,15.15,"Grilled Sausage, Sauerkraut, Mustard, Bread",False,Mild
REST-BER-001,ITEM-305,Rinderroulade,Main Course,23.76,"Beef Roll, Bacon, Pickles, Mustard, Red Wine Gravy",False,None
REST-BER-001,ITEM-401,Kartoffelsalat,Side,5.48,"Potato, Vinegar, Mustard, Herbs",True,None
REST-BER-001,ITEM-402,Rotkohl,Side,4.69,"Red Cabbage, Apple, Vinegar, Cloves",True,None
REST-BER-001,ITEM-403,Semmelknödel,Side,5.09,"Bread Dumplings, Egg, Milk, Parsley",True,None
REST-BER-001,ITEM-404,Bratkartoffeln,Side,5.71,"Pan-Fried Potatoes, Onion, Bacon",False,None
REST-BER-001,ITEM-405,Spätzle Butter,Side,5.49,"Egg Noodles, Butter, Parsley",True,None
REST-BER-001,ITEM-406,Sauerkraut,Side,3.82,"Fermented Cabbage, Caraway Seeds, White Wine",True,None
