review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20250928-387686,CUST-10330,REST-BER-001,Decent food but nothing special. Reibekuchen mit Apfelmus  Spezi  Rotkohl  and Gemüseschnitzel were okay. Rotkohl lacked the punch I expected.,3,2025-10-04T16:36:50.581094
REV-000002,ORD-20251002-463056,CUST-10314,REST-BER-002,Solid experience. Schweinshaxe  Gemüseschnitzel  Rotkohl  and Bratkartoffeln were well-prepared. Rotkohl had great flavor. Minor issues with packaging.,4,2025-10-07T15:52:53.581094
REV-000003,ORD-20251002-197137,CUST-10227,REST-HAM-001,Absolutely horrible! Leberknödelsuppe  Hefeweizen (0.5L)  Rinderroulade  Semmelknödel  and Reibekuchen mit Apfelmus arrived ice cold after 2 hour delay. Reibekuchen mit Apfelmus was spoiled. Disgusting!,1,2025-10-07T22:52:09.581094
REV-000004,ORD-20251005-116851,CUST-10331,REST-BER-002,Not bad  not great. Sauerbraten  Dampfnudel mit Vanillesoße  and Bratkartoffeln were edible. Dampfnudel mit Vanillesoße needed more seasoning.,3,2025-10-11T11:13:00.581094
REV-000006,ORD-20251011-967062,CUST-10168,REST-MUC-001,Enjoyed the Sauerkraut  Spätzle Butter  Schwarzwälder Kirschtorte  Reibekuchen mit Apfelmus  and Dampfnudel mit Vanillesoße! Schwarzwälder Kirschtorte was very good. Portion sizes were generous. Recommend!,4,2025-10-12T10:23:17.581094
REV-000005,ORD-20251010-662491,CUST-10052,REST-HAM-001,Disappointed with Spätzle Butter  Kartoffelsuppe  Bratwurst mit Sauerkraut  Flammkuchen  and Rinderroulade. Spätzle Butter was cold when it arrived. Not worth the money.,2,2025-10-14T21:55:14.581094
REV-000008,ORD-20251012-374523,CUST-10453,REST-MUC-001,Solid experience. Gemüseschnitzel and Flammkuchen were well-prepared. Gemüseschnitzel had great flavor. Minor issues with packaging.,4,2025-10-17T22:25:55.581094
REV-000007,ORD-20251012-130355,CUST-10174,REST-MUC-001,Exceptional quality! Ordered Sauerbraten  Schwarzwälder Kirschtorte  Schweinshaxe  and Reibekuchen mit Apfelmus and everything was delicious. The Reibekuchen mit Apfelmus melted in my mouth. Perfect!,5,2025-10-18T15:10:48.581094
REV-000009,ORD-20251013-950276,CUST-10039,REST-MUC-002,Terrible experience! Bratkartoffeln  Schwarzwälder Kirschtorte  Kartoffelsuppe  and Gemüseschnitzel were all inedible. Gemüseschnitzel was completely burnt. Waste of money!,1,2025-10-18T20:45:03.581094
REV-000012,ORD-20251019-801673,CUST-10477,REST-BER-001,Incredible meal! Rote Grütze mit Sahne  Leberknödelsuppe  and Laugenbrezel mit Obatzda & Salat arrived hot and fresh. The Laugenbrezel mit Obatzda & Salat was absolutely divine. Highly satisfied!,5,2025-10-20T21:30:37.581094
REV-000010,ORD-20251019-906373,CUST-10399,REST-BER-002,Appalling quality! Apfelschorle  Rotkohl  and Kartoffelsuppe were swimming in oil. Kartoffelsuppe was raw inside. Health hazard!,1,2025-10-22T16:13:37.581094
REV-000011,ORD-20251019-673384,CUST-10262,REST-BER-002,Solid experience. Gemüseschnitzel were well-prepared. Gemüseschnitzel had great flavor. Minor issues with packaging.,4,2025-10-25T16:45:19.581094
REV-000013,ORD-20251024-533597,CUST-10335,REST-MUC-002,Hands down the best Rinderroulade I've ever had! Sauerkraut  Flammkuchen  and Rinderroulade were all prepared beautifully. Fresh and flavorful!,5,2025-10-29T18:56:53.581094
REV-000014,ORD-20251029-810820,CUST-10335,REST-HAM-001,Enjoyed the Hefeweizen (0.5L)  Käsespätzle  Kartoffelsalat  Schweinshaxe  and Spätzle Butter! Käsespätzle was very good. Portion sizes were generous. Recommend!,4,2025-11-02T19:11:08.581094
REV-000015,ORD-20251101-856864,CUST-10219,REST-BER-002,Solid experience. Hefeweizen (0.5L)  Kartoffelknödel mit Pilzrahmsoße  Leberknödelsuppe  and Obatzda mit Brezn were well-prepared. Kartoffelknödel mit Pilzrahmsoße had great flavor. Minor issues with packaging.,4,2025-11-03T19:17:01.581094
REV-000016,ORD-20251102-587245,CUST-10450,REST-BER-001,Very satisfied! Gemüseschnitzel  Semmelknödel  and Spätzle Butter were fresh and flavorful. Semmelknödel was the standout dish.,4,2025-11-04T10:34:42.581094
REV-000017,ORD-20251106-977971,CUST-10219,REST-BER-001,Exceptional quality! Ordered Apfelstrudel mit Vanillesoße  Spätzle Butter  Reibekuchen mit Apfelmus  and Rinderroulade and everything was delicious. The Spätzle Butter melted in my mouth. Perfect!,5,2025-11-09T16:49:21.581094
REV-000018,ORD-20251107-571723,CUST-10392,REST-MUC-002,Decent food but nothing special. Laugenbrezel mit Obatzda & Salat  Sauerkraut  Käsespätzle  Bratkartoffeln  and Rotkohl were okay. Bratkartoffeln lacked the punch I expected.,3,2025-11-14T19:15:05.581094
REV-000020,ORD-20251118-940436,CUST-10300,REST-BER-002,Absolutely amazing Wiener Schnitzel! The Wiener Schnitzel was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-19T10:05:08.581094
REV-000019,ORD-20251115-875989,CUST-10458,REST-BER-001,Good quality food. Schweinshaxe and Hefeweizen (0.5L) were nicely done. Hefeweizen (0.5L) could have been slightly spicier but still good!,4,2025-11-21T12:24:27.581094
REV-000021,ORD-20251122-232056,CUST-10272,REST-MUC-002,Exceptional quality! Ordered Apfelstrudel mit Vanillesoße  Kartoffelknödel mit Pilzrahmsoße  and Bratkartoffeln and everything was delicious. The Kartoffelknödel mit Pilzrahmsoße melted in my mouth. Perfect!,5,2025-11-27T21:52:55.581094
REV-000022,ORD-20251126-173997,CUST-10115,REST-MUC-002,Hands down the best Apfelstrudel mit Vanillesoße I've ever had! Apfelstrudel mit Vanillesoße were all prepared beautifully. Fresh and flavorful!,5,2025-11-29T14:32:46.581094
REV-000023,ORD-20251130-875663,CUST-10477,REST-HAM-001,Average experience. Currywurst Snack were fine but Currywurst Snack was a bit bland. Room for improvement.,3,2025-12-04T10:24:10.581094
REV-000024,ORD-20251130-939935,CUST-10077,REST-BER-002,Perfect in every way! Sauerbraten  Currywurst Snack  Rote Grütze mit Sahne  and Laugenbrezel mit Obatzda & Salat were all excellent. Currywurst Snack stood out with its rich  authentic taste.,5,2025-12-04T15:11:35.581094
REV-000026,ORD-20251206-307131,CUST-10231,REST-BER-002,Exceptional quality! Ordered Kartoffelsalat  Bratkartoffeln  Rotkohl  and Apfelstrudel mit Vanillesoße and everything was delicious. The Bratkartoffeln melted in my mouth. Perfect!,5,2025-12-10T20:12:11.581094
REV-000027,ORD-20251206-627855,CUST-10350,REST-BER-002,Wow! Just wow! Semmelknödel were all fantastic. Semmelknödel was particularly memorable. Can't wait to order again!,5,2025-12-12T20:40:54.581094
REV-000025,ORD-20251206-348104,CUST-10494,REST-BER-001,Hands down the best Kartoffelsuppe I've ever had! Rote Grütze mit Sahne  Kartoffelsuppe  and Schwarzwälder Kirschtorte were all prepared beautifully. Fresh and flavorful!,5,2025-12-13T16:47:29.581094
REV-000030,ORD-20251212-900599,CUST-10469,REST-MUC-002,Average experience. Gemüseschnitzel  Flammkuchen  and Wiener Schnitzel were fine but Gemüseschnitzel was a bit bland. Room for improvement.,3,2025-12-15T10:44:18.581094
REV-000029,ORD-20251211-538621,CUST-10133,REST-MUC-001,Disappointed with Kartoffelsuppe. Kartoffelsuppe was cold when it arrived. Not worth the money.,2,2025-12-15T13:28:15.581094
REV-000028,ORD-20251209-298169,CUST-10206,REST-HAM-001,Absolutely amazing Märzen (0.5L)  Bratwurst mit Sauerkraut  and Hefeweizen (0.5L)! The Bratwurst mit Sauerkraut was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-15T15:53:57.581094
REV-000032,ORD-20251215-208435,CUST-10288,REST-BER-002,Very satisfied! Sauerkraut  Hefeweizen (0.5L)  Rinderroulade  Rotkohl  and Käsespätzle were fresh and flavorful. Hefeweizen (0.5L) was the standout dish.,4,2025-12-17T16:34:17.581094
REV-000031,ORD-20251214-329071,CUST-10088,REST-BER-002,Incredible meal! Rotkohl and Apfelstrudel mit Vanillesoße arrived hot and fresh. The Apfelstrudel mit Vanillesoße was absolutely divine. Highly satisfied!,5,2025-12-18T18:11:32.581094
REV-000034,ORD-20251219-374093,CUST-10033,REST-HAM-001,Wow! Just wow! Gemüseschnitzel and Schweinshaxe were all fantastic. Schweinshaxe was particularly memorable. Can't wait to order again!,5,2025-12-21T10:26:39.581094
REV-000033,ORD-20251215-803399,CUST-10247,REST-MUC-002,Best Indian food in UAE! Semmelknödel  Reibekuchen mit Apfelmus  and Kartoffelknödel mit Pilzrahmsoße were incredible. Semmelknödel had the perfect balance of spices. Five stars!,5,2025-12-21T19:38:22.581094
REV-000036,ORD-20251222-440301,CUST-10411,REST-HAM-001,Very satisfied! Schwarzwälder Kirschtorte were fresh and flavorful. Schwarzwälder Kirschtorte was the standout dish.,4,2025-12-23T21:24:44.581094
REV-000035,ORD-20251221-217529,CUST-10408,REST-MUC-001,Good quality food. Obatzda mit Brezn  Märzen (0.5L)  and Sauerkraut were nicely done. Sauerkraut could have been slightly spicier but still good!,4,2025-12-28T15:25:50.581094
REV-000038,ORD-20251230-524811,CUST-10438,REST-MUC-002,Incredible meal! Gemüseschnitzel  Kartoffelsuppe  and Hefeweizen (0.5L) arrived hot and fresh. The Gemüseschnitzel was absolutely divine. Highly satisfied!,5,2025-12-31T17:46:06.581094
REV-000037,ORD-20251227-591241,CUST-10277,REST-HAM-001,Perfect in every way! Reibekuchen mit Apfelmus and Hefeweizen (0.5L) were all excellent. Reibekuchen mit Apfelmus stood out with its rich  authentic taste.,5,2026-01-03T10:16:21.581094
REV-000039,ORD-20260101-640686,CUST-10082,REST-MUC-002,Hands down the best Gemüseschnitzel I've ever had! Spätzle Butter  Hefeweizen (0.5L)  Schweinshaxe  and Gemüseschnitzel were all prepared beautifully. Fresh and flavorful!,5,2026-01-08T22:36:53.581094
